scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
Quality assurance or inspection,Occupational health,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – adult and general care nursing,GP practice or other primary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Education,Cosmetic or aesthetic sector,Self employed,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – occupational health,Policy organisation,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Scotland
Quality assurance or inspection,Other,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – school nursing,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
Education,Cosmetic or aesthetic sector,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – other,Occupational health,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,Telephone or e-health advice,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Governing body or other leadership,Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – school nursing,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Outside UK
Education,Governing body or other leadership,Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – occupational health,Policy organisation,Self employed,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – other,Other,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – midwifery,Policy organisation,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Research,Other,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – health visiting,Occupational health,Volunteering,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – midwifery,Voluntary or charity sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – other,School,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – health visiting,Hospital or other secondary care,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Governing body or other leadership,Volunteering,TRUE,testpostcode2,Test organisation 1,Wales
Research,Public health organisation,Volunteering,TRUE,testpostcode2,Test organisation 2,Wales
Commissioning,Maternity unit or birth centre,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – public health,Maternity unit or birth centre,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Quality assurance or inspection,Telephone or e-health advice,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – other,Voluntary or charity sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
Commissioning,Insurance or legal,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,Hospital or other secondary care,Self employed,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – occupational health,Hospital or other secondary care,Self employed,TRUE,testpostcode1,Test organisation 1,England
Quality assurance or inspection,Hospital or other secondary care,Volunteering,TRUE,testpostcode1,Test organisation 2,England
Research,GP practice or other primary care,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – adult and general care nursing,GP practice or other primary care,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – learning disabilities nursing,Cosmetic or aesthetic sector,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – occupational health,Occupational health,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Other,Police,Volunteering,TRUE,testpostcode1,Test organisation 2,Wales
Policy,Military,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,England
Policy,School,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – learning disabilities nursing,School,Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – midwifery,University or other research facility,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Commissioning,GP practice or other primary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Insurance or legal,Volunteering,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – learning disabilities nursing,Police,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
Policy,Maternity unit or birth centre,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Police,Self employed,TRUE,testpostcode1,Test organisation 1,Scotland
Research,Police,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – public health,Prison,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – learning disabilities nursing,Inspectorate or regulator,Volunteering,TRUE,testpostcode1,Test organisation 1,Scotland
Commissioning,Other,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Military,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – midwifery,Ambulance service,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – learning disabilities nursing,Care home sector,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
Quality assurance or inspection,Military,Self employed,TRUE,testpostcode2,Test organisation 2,Wales
Policy,Other,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – learning disabilities nursing,Police,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Education,Inspectorate or regulator,Self employed,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,Cosmetic or aesthetic sector,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – occupational health,Other,Self employed,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Consultancy,Volunteering,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – public health,Governing body or other leadership,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – school nursing,Military,Volunteering,FALSE,testpostcode2,Test organisation 2,Wales
Commissioning,Consultancy,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
Commissioning,Telephone or e-health advice,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Police,Self employed,FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – children’s and neo-natal nursing,Cosmetic or aesthetic sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – adult and general care nursing,Private domestic setting,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – learning disabilities nursing,University or other research facility,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
